Datum : 	05.12.2013
Durchmesser :	69,2
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	38,213867	-14,134863	-14,357582	0	-0,081312098	-0,0498094	-0,040322311	-0,059594512	-0,049511373	-0,030138193	-0,0057653813	-0,012473864	-0,0096291024
41613	38,313477	-14,324121	-14,561348	0	-0,082431547	-0,050556727	-0,041079007	-0,060306907	-0,050284266	-0,030221064	-0,005943439	-0,012652894	-0,0098775532
41613	38,413086	-14,513379	-14,707111	0	-0,083645247	-0,051051762	-0,04157998	-0,06074214	-0,050833166	-0,030290235	-0,005983403	-0,012820839	-0,0099937785
41613	38,512695	-14,702637	-14,940233	0	-0,084814802	-0,051715285	-0,042242255	-0,061351538	-0,051552057	-0,030385664	-0,0061108493	-0,012947179	-0,010158658
41613	38,612305	-14,891894	-15,012188	0	-0,085148215	-0,052213162	-0,042723626	-0,061843276	-0,052072585	-0,03040991	-0,0061017787	-0,013075741	-0,010185845
41613	38,711914	-15,081152	-15,192583	0	-0,086167641	-0,052769437	-0,043286245	-0,062334418	-0,052687645	-0,030495064	-0,0062807789	-0,013221413	-0,010327918
41613	38,811523	-15,27041	-15,425379	0	-0,087278523	-0,053320404	-0,043868892	-0,062846065	-0,05324626	-0,030599311	-0,0063742218	-0,013402659	-0,010534782
41613	38,911133	-15,459668	-15,663382	0	-0,088305585	-0,054206766	-0,044730954	-0,063712418	-0,054176927	-0,030746942	-0,0065594763	-0,013580964	-0,010682367
41613	39,010742	-15,648926	-15,812513	0	-0,089118443	-0,054842502	-0,045409948	-0,064286768	-0,05483079	-0,030772334	-0,0066025322	-0,013682351	-0,010792812
41613	39,110352	-15,838183	-16,021736	0	-0,089875422	-0,055464372	-0,0460632	-0,064873815	-0,055456102	-0,030915696	-0,0067182519	-0,013946131	-0,010948438
41613	39,209961	-16,027441	-16,251404	0	-0,090670027	-0,056142602	-0,046747666	-0,065493166	-0,056186974	-0,03100815	-0,0068968022	-0,014092952	-0,011186602
41613	39,30957	-16,2167	-16,45677	0	-0,091625936	-0,056858458	-0,047490645	-0,066180706	-0,056904018	-0,031115446	-0,0070230542	-0,014224577	-0,0113459
41613	39,40918	-16,405956	-16,684208	0	-0,092833117	-0,057564892	-0,048165731	-0,066865385	-0,05766356	-0,031171396	-0,0070656473	-0,014410004	-0,011501956
41613	39,508789	-16,595215	-16,836018	0	-0,093618967	-0,058203809	-0,048818503	-0,067444146	-0,058348775	-0,031297676	-0,0072113629	-0,014600918	-0,01159773
41613	39,608398	-16,784472	-16,972521	0	-0,094318576	-0,058628526	-0,049244422	-0,06785363	-0,058787525	-0,031320561	-0,0072974698	-0,014634574	-0,011749848
41613	39,708008	-16,97373	-17,15522	0	-0,095119327	-0,059195369	-0,049779918	-0,068403184	-0,059403002	-0,031359952	-0,0073473644	-0,014749791	-0,011872846
41613	39,807617	-17,162989	-17,379759	0	-0,096302107	-0,059979379	-0,050592724	-0,069111645	-0,060233772	-0,031502903	-0,0075390288	-0,01496988	-0,012062446
41613	39,907227	-17,352245	-17,540928	0	-0,097205117	-0,060654979	-0,051254455	-0,069758236	-0,060952246	-0,031632833	-0,0075661144	-0,015155281	-0,01217661
41613	40,006836	-17,541504	-17,845644	0	-0,098309666	-0,061392263	-0,051993951	-0,070466459	-0,061716378	-0,031713117	-0,0077568367	-0,015363388	-0,012434199
41613	40,106445	-17,730761	-17,959316	0	-0,098619424	-0,062015913	-0,052631147	-0,071055412	-0,062361181	-0,031802904	-0,0078834649	-0,015479453	-0,012503929
41613	40,206055	-17,920019	-18,102299	0	-0,099739432	-0,062414959	-0,053049788	-0,071403444	-0,062791646	-0,031916313	-0,0080638425	-0,015630944	-0,012676123
41613	40,305664	-18,109278	-18,23208	0	-0,10077022	-0,062981591	-0,053581133	-0,071984947	-0,063378692	-0,031944022	-0,0080601815	-0,015729109	-0,01276114
41613	40,405273	-18,298534	-18,473215	0	-0,10138322	-0,063709438	-0,054313291	-0,072663903	-0,064151108	-0,0320209	-0,0081727626	-0,015889244	-0,012897057
41613	40,504883	-18,487793	-18,603884	0	-0,10214597	-0,064145967	-0,054790571	-0,073046863	-0,064600468	-0,032088194	-0,0082587842	-0,015976448	-0,013077362
41613	40,604492	-18,67705	-18,776596	0	-0,10274164	-0,064700067	-0,055350784	-0,073589087	-0,065160334	-0,032179933	-0,0083608544	-0,016167641	-0,01320962
41613	40,704102	-18,866308	-19,059858	0	-0,10418855	-0,065470085	-0,056106038	-0,074342132	-0,065962076	-0,032322269	-0,0085376967	-0,016387923	-0,013407591
41613	40,803711	-19,055567	-19,122868	0	-0,10503177	-0,065974385	-0,056629624	-0,074828565	-0,066464961	-0,032404531	-0,0086045293	-0,01649346	-0,01347647
41613	40,90332	-19,244823	-19,389887	0	-0,10550693	-0,066534236	-0,05714738	-0,075372517	-0,067082822	-0,032559153	-0,008838281	-0,016695596	-0,013716224
41613	41,00293	-19,434082	-19,501741	0	-0,10585561	-0,067140102	-0,057770383	-0,075956464	-0,067693472	-0,032557812	-0,0088583324	-0,016751688	-0,013821254
41613	41,102539	-19,623339	-19,651632	0	-0,10717064	-0,067598805	-0,058232266	-0,076386929	-0,068177223	-0,032641761	-0,0089683169	-0,016881043	-0,013911781
41613	41,202148	-19,812597	-19,747774	0	-0,10798331	-0,068027407	-0,058687411	-0,076792836	-0,068601966	-0,032660354	-0,0090257768	-0,016940931	-0,013961908
41613	41,301758	-20,001856	-20,171307	0	-0,10918844	-0,068937525	-0,059560902	-0,077665806	-0,06958586	-0,032865044	-0,0092755845	-0,017251717	-0,014356491
41613	41,401367	-20,191113	-20,487562	0	-0,11051334	-0,070052929	-0,060691796	-0,078760624	-0,070706367	-0,032978918	-0,0094277384	-0,01749704	-0,014595557
41613	41,500977	-20,380371	-20,737087	0	-0,11183694	-0,070832714	-0,06151266	-0,079481781	-0,071503699	-0,033096924	-0,0095760347	-0,017712204	-0,014791757
41613	41,600586	-20,569628	-20,782646	0	-0,11188015	-0,071367674	-0,062056515	-0,079996109	-0,072050393	-0,033194877	-0,0095891608	-0,017811915	-0,014857231
41613	41,700195	-20,758886	-21,001228	0	-0,1129508	-0,071893513	-0,062546968	-0,080520511	-0,07261306	-0,033224259	-0,0097925542	-0,017823927	-0,015003728
41613	41,799805	-20,948145	-21,163893	0	-0,11395942	-0,072488636	-0,063165337	-0,081095099	-0,073205471	-0,033345565	-0,0098727224	-0,018069815	-0,015168689
41613	41,899414	-21,137402	-21,326662	0	-0,11470336	-0,073015288	-0,063720323	-0,08158803	-0,073737502	-0,03339579	-0,0099645387	-0,018188605	-0,015315088
41613	41,999023	-21,32666	-21,56027	0	-0,11563133	-0,073688157	-0,064393535	-0,082231164	-0,074439764	-0,033535238	-0,0101912	-0,018384513	-0,015504509
41613	42,098633	-21,515917	-21,743271	0	-0,11694189	-0,074399129	-0,065116979	-0,082896948	-0,075183451	-0,033580881	-0,010266657	-0,018449593	-0,015641272
41613	42,198242	-21,705175	-21,934868	0	-0,11772905	-0,074960165	-0,065705337	-0,083429575	-0,075745583	-0,033708867	-0,010413739	-0,018650211	-0,015776016
41613	42,297852	-21,894434	-22,09079	0	-0,11805911	-0,075445205	-0,066184603	-0,083919823	-0,076231182	-0,033757798	-0,010413242	-0,018798256	-0,01594514
41613	42,397461	-22,083691	-22,218227	0	-0,11882298	-0,075981602	-0,066724308	-0,084432364	-0,076788127	-0,033816718	-0,01051471	-0,018872915	-0,016050067
41613	42,49707	-22,272949	-22,367897	0	-0,11936668	-0,076490134	-0,067267202	-0,084899545	-0,077303648	-0,033895619	-0,010612154	-0,018957535	-0,016135028
41613	42,59668	-22,462206	-22,534313	0	-0,12050997	-0,077029727	-0,067792416	-0,085410893	-0,077885866	-0,033996388	-0,01075165	-0,019173298	-0,016344398
41613	42,696289	-22,651464	-22,832989	0	-0,12117829	-0,077755414	-0,068516508	-0,086150706	-0,078599036	-0,034145921	-0,010956557	-0,019383937	-0,016573466
41613	42,795898	-22,840723	-23,02626	0	-0,12224261	-0,07841479	-0,069194481	-0,086748779	-0,079301119	-0,034192987	-0,01094966	-0,019508326	-0,016693719
41613	42,895508	-23,02998	-23,112204	0	-0,12273956	-0,078950636	-0,069761969	-0,087289035	-0,079800904	-0,034258433	-0,011086359	-0,019623766	-0,016808849
41613	42,995117	-23,219238	-23,261333	0	-0,12354385	-0,079458289	-0,070243344	-0,087806821	-0,080324709	-0,034268942	-0,011131644	-0,019705985	-0,016866237
41613	43,094727	-23,408495	-23,530674	0	-0,12450833	-0,080264047	-0,0710449	-0,08858192	-0,081165314	-0,034447066	-0,01137489	-0,019933239	-0,017163802
41613	43,194336	-23,597754	-23,668436	0	-0,12531504	-0,080669455	-0,071493313	-0,088980615	-0,081534445	-0,034487415	-0,011411454	-0,02000588	-0,017332096
41613	43,293945	-23,787012	-23,880335	0	-0,12608171	-0,081270568	-0,072094485	-0,089529872	-0,082187355	-0,034576014	-0,011464712	-0,020203432	-0,017455671
41613	43,393555	-23,976269	-24,049046	0	-0,12710355	-0,081886187	-0,072716527	-0,090138018	-0,082804024	-0,03465914	-0,011577533	-0,020295491	-0,017557334
41613	43,493164	-24,165527	-24,192078	0	-0,12790635	-0,082432985	-0,07327307	-0,090650022	-0,083375871	-0,034720823	-0,011753024	-0,020405244	-0,017652428
41613	43,592773	-24,354784	-24,536083	0	-0,12912117	-0,083142191	-0,073976777	-0,091344893	-0,084104896	-0,034921844	-0,011985928	-0,020712178	-0,018022044
41613	43,692383	-24,544043	-24,639856	0	-0,12978408	-0,083785541	-0,074659258	-0,091971993	-0,08472538	-0,034956373	-0,012035734	-0,020749582	-0,018077496
41613	43,791992	-24,733301	-24,918188	0	-0,13087243	-0,084605001	-0,075478025	-0,09275049	-0,085586488	-0,035080399	-0,012115205	-0,021020196	-0,018303536
